name,customer,service,price
Тариф 001,ИП,Звонки,16.29
Тариф 002,Физлицо,SMS,34.97
Тариф 003,ООО,Звонки,23.12
Тариф 004,Физлицо,Звонки,27.00
Тариф 005,Физлицо,Звонки,33.72
Тариф 006,ИП,Звонки,30.90
Тариф 007,ООО,Звонки,40.97
Тариф 008,ООО,Интернет,10.73
Тариф 009,Госучреждение,Интернет,7.81
Тариф 010,Физлицо,Пакет,31.57
Тариф 011,ООО,SMS,28.43
Тариф 012,Госучреждение,Интернет,29.17
Тариф 013,ООО,Интернет,43.57
Тариф 014,ИП,SMS,5.63
Тариф 015,Физлицо,Звонки,7.21
Тариф 016,Физлицо,Звонки,16.43
Тариф 017,ИП,Интернет,20.71
Тариф 018,Физлицо,Звонки,47.05
Тариф 019,ИП,Интернет,11.46
Тариф 020,ООО,Звонки,21.14
Тариф 021,Госучреждение,Интернет,29.40
Тариф 022,ООО,Пакет,39.58
Тариф 023,Физлицо,Звонки,18.17
Тариф 024,Физлицо,Звонки,47.35
Тариф 025,ООО,Интернет,33.98
Тариф 026,Физлицо,Пакет,24.84
Тариф 027,Физлицо,Звонки,29.60
Тариф 028,Физлицо,Интернет,45.25
Тариф 029,Физлицо,Звонки,49.89
Тариф 030,ИП,Звонки,5.69
Тариф 031,Физлицо,Интернет,40.33
Тариф 032,Физлицо,Звонки,21.25
Тариф 033,Госучреждение,Интернет,48.66
Тариф 034,ООО,Звонки,37.01
Тариф 035,ООО,Интернет,15.91
Тариф 036,ИП,Звонки,23.72
Тариф 037,ИП,Пакет,44.23
Тариф 038,Физлицо,Интернет,11.81
Тариф 039,Госучреждение,Пакет,17.38
Тариф 040,ИП,Интернет,10.61
Тариф 041,ООО,Интернет,39.71
Тариф 042,ИП,Звонки,18.57
Тариф 043,Физлицо,Пакет,44.36
Тариф 044,ООО,Интернет,6.19
Тариф 045,ООО,Пакет,7.48
Тариф 046,ИП,Звонки,38.87
Тариф 047,ООО,Звонки,25.60
Тариф 048,ИП,Звонки,44.07
Тариф 049,Физлицо,Звонки,28.58
Тариф 050,ООО,Звонки,17.99
Тариф 051,Госучреждение,Интернет,23.87
Тариф 052,ИП,Звонки,13.95
Тариф 053,Физлицо,Интернет,14.20
Тариф 054,Физлицо,Звонки,32.85
Тариф 055,Физлицо,Пакет,43.47
Тариф 056,Физлицо,Звонки,34.61
Тариф 057,Физлицо,Звонки,47.00
Тариф 058,ИП,Интернет,39.98
Тариф 059,ООО,Звонки,8.01
Тариф 060,Физлицо,Интернет,25.22
Тариф 061,ООО,SMS,49.26
Тариф 062,Физлицо,Интернет,19.28
Тариф 063,ООО,Звонки,12.34
Тариф 064,Физлицо,Интернет,16.45
Тариф 065,Физлицо,Пакет,24.11
Тариф 066,ООО,Интернет,5.85
Тариф 067,Госучреждение,Пакет,48.56
Тариф 068,Госучреждение,Пакет,11.23
Тариф 069,ИП,Звонки,22.15
Тариф 070,Физлицо,Интернет,49.32
Тариф 071,Физлицо,Роуминг,24.66
Тариф 072,Физлицо,Пакет,49.79
Тариф 073,ИП,SMS,10.70
Тариф 074,Физлицо,Пакет,30.43
Тариф 075,ИП,SMS,6.16
Тариф 076,ИП,Интернет,43.15
Тариф 077,Физлицо,Пакет,7.23
Тариф 078,Физлицо,Интернет,34.90
Тариф 079,Физлицо,Звонки,44.90
Тариф 080,Физлицо,Интернет,32.30
Тариф 081,Физлицо,Интернет,27.81
Тариф 082,Госучреждение,Звонки,36.80
Тариф 083,Физлицо,Интернет,34.73
Тариф 084,Физлицо,Интернет,38.46
Тариф 085,Физлицо,Интернет,49.93
Тариф 086,Госучреждение,Звонки,13.41
Тариф 087,Физлицо,Пакет,44.46
Тариф 088,ООО,Интернет,10.84
Тариф 089,ООО,SMS,31.94
Тариф 090,Госучреждение,SMS,3.86
Тариф 091,ООО,Звонки,34.35
Тариф 092,Госучреждение,Звонки,8.87
Тариф 093,Физлицо,Интернет,16.16
Тариф 094,ИП,SMS,12.97
Тариф 095,ИП,Звонки,26.22
Тариф 096,Госучреждение,Пакет,7.79
Тариф 097,Физлицо,Звонки,3.66
Тариф 098,ООО,Интернет,15.68
Тариф 099,ООО,Интернет,23.39
Тариф 100,Физлицо,Звонки,44.56
